Facility,SOURCEID,AIID,LATITUDE,LONGITUDE,PERMITTYPE,NAICS_CODE,INVENTORY,EMISSIONUN,CO,NOX,SO2,VOC,LEAD,PM10,PM25,NH3
133rd Airlift Wing - Minnesota Air National Guard,2705300965,345,44.89044571,-93.20204163,D,928110,2019,TON,1.162006,1.93765,0.0635739,1.7954756,0.000005675,0.0380874,0.02804095,0.04148885
133rd Airlift Wing - Minnesota Air National Guard,2705300965,345,44.89044571,-93.20204163,D,928110,2018,TON,1.162006,1.93765,0.0635739,1.7954756,0.000005675,0.03808935,0.02804095,0.04148885
133rd Airlift Wing - Minnesota Air National Guard,2705300965,345,44.89044571,-93.20204163,D,928110,2017,TON,1.052806,1.80765,0.0627939,1.7883256,0.000005025,0.0359366,0.02694657,0.03732885
3M - Administrative Offices - Maplewood,2712300694,47995,44.9501,-92.9966,R,322220,2019,TON,47.7753445,122.356668,0.5575163,5.3740649,0.00039578,0.85231058,0.70705138,2.62259675
3M - Administrative Offices - Maplewood,2712300694,47995,44.9501,-92.9966,R,322220,2018,TON,42.083407,126.184638,18.5142886,5.4020184,0.000404974,0.770463209,0.634055729,2.6663433
3M - Alexandria,2704100003,2489,45.8693,-95.3756,R,327910,2019,TON,2.278206,3.27165,0.0208787,69.297372,0.000604458,13.19283504,4.68610334,0.1113564
3M - Alexandria,2704100003,2489,45.8693,-95.3756,R,327910,2018,TON,2.451365,3.42335,0.0217709,65.229471,0.000604323,15.95700928,5.6605431,0.1161198
3M - Alexandria,2704100003,2489,45.8693,-95.3756,R,327910,2017,TON,2.2142658,2.95788,0.0184604,65.156962,0.00028457,16.6175308,5.8749609,0.098453
3M - Bldg 76,2712300491,1249,44.94358342,-93.07428353,D,313230,2019,TON,0.3608,0.4296,0.002577,0.70333,0.000002148,1.907234,1.7896475,0.01375
3M - Bldg 76,2712300491,1249,44.94358342,-93.07428353,D,313230,2018,TON,0.2897,0.3449,0.002069,0.86817,0.000001724,1.9990937,1.8758833,0.01104
3M - Bldg 76,2712300491,1249,44.94358342,-93.07428353,D,313230,2017,TON,0.2582,0.3074,0.001844,0.8727,0.000001537,2.246598,2.1081216,0.009835
3M - Cottage Grove,2716300023,1163,44.79076385,-92.91510773,R,326113,2019,TON,0.5061,0.6025,0.003615,6.21884,,3.628763,3.5021908,0.01928
3M - Cottage Grove,2716300023,1163,44.79076385,-92.91510773,R,326113,2018,TON,0.4465,0.5315,0.003189,6.96743,0.000079,3.677584,3.5671757,0.01701
3M - Cottage Grove,2716300023,1163,44.79076385,-92.91510773,R,326113,2017,TON,0.4124,0.491,0.002946,7.51291,0.000079,4.459593,4.2094211,0.01571
3M - Cottage Grove - Abrasive Systems Division,2716300017,145425,44.79045983,-92.91404737,R,327910,2019,TON,4.63785,23.268583,0.0525958,0.3241708,0.0006574,26.74017955,23.03707651,0.1756552
3M - Cottage Grove - Abrasive Systems Division,2716300017,145425,44.79045983,-92.91404737,R,327910,2018,TON,7.17526,39.228928,0.0758773,0.495784,0.0006574,26.76868499,23.06212339,0.2720546
3M - Cottage Grove - Abrasive Systems Division,2716300017,145425,44.79045983,-92.91404737,R,327910,2017,TON,7.17658,43.74801,0.066622,0.486118,0.0010446,33.3280781,28.72050235,0.2726084
3M - Cottage Grove - Bldg 133/Traffic Safety,2716300059,145430,44.79047205,-92.91403986,R,325199,2019,TON,0.5579934,0.670498,0.003979584,0.1229852,,0.022917229,0.005441254,0.02126752
3M - Cottage Grove - Bldg 133/Traffic Safety,2716300059,145430,44.79047205,-92.91403986,R,325199,2018,TON,0.721317,0.90141,0.005111151,0.21655735,0,0.028163222,0.006811056,0.02752909
3M - Cottage Grove - Bldg 133/Traffic Safety,2716300059,145430,44.79047205,-92.91403986,R,325199,2017,TON,0.756367,1.00457,0.005304008,0.230785,,0.025751722,0.006601595,0.0289413
3M - Cottage Grove - Bldg 19 & 111,2716300133,145429,44.79047205,-92.91403986,R,326113,2019,TON,,,,1.444,0.000000225,0.007744,0.006893,
3M - Cottage Grove - Bldg 19 & 111,2716300133,145429,44.79047205,-92.91403986,R,326113,2018,TON,0,0,0,1.444,0.000000225,0.007744,0.006893,0
3M - Cottage Grove - Bldg 19 & 111,2716300133,145429,44.79047205,-92.91403986,R,326113,2017,TON,,,,1.167,1.877E-07,0.006459,0.005749,
3M - Cottage Grove - Corporate Incinerator,2716300025,145427,44.79045983,-92.91404737,R,562213,2019,TON,1.502389,47.867031,45.31015559,13.8671444,0.0043652,8.762093246,7.961056808,0.0001077
3M - Cottage Grove - Corporate Incinerator,2716300025,145427,44.79045983,-92.91404737,R,562213,2018,TON,1.468087,54.38957,40.12301153,5.025695,0.003838,4.084150957,3.189498651,0.0003459
3M - Cottage Grove - Corporate Incinerator,2716300025,145427,44.79045983,-92.91404737,R,562213,2017,TON,0.948819,46.88306,33.5050129,29.359327,0.005,3.509736665,2.742114085,0.002711
3M - Cottage Grove - Materials Resource Division,2716300022,145428,44.79047205,-92.91403986,R,325998,2019,TON,0.011921,0.05539,0.00364,46.895309,,0.108257052,0.060093736,0.013657207
3M - Cottage Grove - Materials Resource Division,2716300022,145428,44.79047205,-92.91403986,R,325998,2018,TON,0.017934,0.08333,0.005477,62.9081169,0,0.128745138,0.070916751,0.025261836
3M - Cottage Grove - Materials Resource Division,2716300022,145428,44.79047205,-92.91403986,R,325998,2017,TON,0.015665,0.07278,0.004784,54.66408225,,0.113710493,0.062753975,0.034340072
3M - Cottage Grove - Specialty Additives,2716300002,145431,44.79045983,-92.91404737,R,327212,2019,TON,7.054376,16.27074,17.0719269,0.586757,,10.03646221,9.125024733,0.2277721
3M - Cottage Grove - Specialty Additives,2716300002,145431,44.79045983,-92.91404737,R,327212,2018,TON,6.401014,14.65355,15.3991582,0.531025,0,6.815044567,6.014489027,0.20715762
3M - Cottage Grove - Specialty Additives,2716300002,145431,44.79045983,-92.91404737,R,327212,2017,TON,6.136861,16.96627,14.568375,0.515684,,6.28627826,4.92012993,0.183439
