SYS_LOC_CODE,SAMPLE_DATE,SAMPLE_TYPE_CODE,STREAM_CODE,ANALYTIC_METHOD,FRACTION,REPORT_RESULT_VALUE,DETECT_FLAG,CHEMICAL_NAME,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,RESULT_NUMERIC,RESULT_UNIT,DETECTION_LIMIT_UNIT,LOC_COUNTY_CODE,SAMPLE_METHOD,LOC_MAJOR_BASIN,LOC_DESC,VALUE_TYPE,LONGITUDE,LATITUDE,date,year,month,month_name,WID,HUC 8
S000-251,40112,Sample,04010101-502,300.1,Total,2.79,Y,Sulfate,NA,1,2.79,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40112,2009,10,October,04010101-502,04010101
S000-251,40148,Sample,04010101-502,300.1,Total,3.63,Y,Sulfate,NA,1,3.63,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40148,2009,12,December,04010101-502,04010101
S000-251,40204,Sample,04010101-502,300.1,Total,3.55,Y,Sulfate,NA,1,3.55,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40204,2010,1,January,04010101-502,04010101
S000-251,40238,Sample,04010101-502,300.1,Total,3.74,Y,Sulfate,NA,1,3.74,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40238,2010,3,March,04010101-502,04010101
S000-251,40295,Sample,04010101-502,300.1,Total,3.22,Y,Sulfate,NA,1,3.22,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40295,2010,4,April,04010101-502,04010101
S000-251,40309,Sample,04010101-502,300.1,Total,3.19,Y,Sulfate,NA,1,3.19,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40309,2010,5,May,04010101-502,04010101
S000-251,40336,Sample,04010101-502,300.1,Total,2.68,Y,Sulfate,NA,1,2.68,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40336,2010,6,June,04010101-502,04010101
S000-251,40377,Sample,04010101-502,300.1,Total,2.08,Y,Sulfate,NA,1,2.08,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40377,2010,7,July,04010101-502,04010101
S000-251,40412,Sample,04010101-502,300.1,Total,2.77,Y,Sulfate,NA,1,2.77,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40412,2010,8,August,04010101-502,04010101
S000-251,40449,Sample,04010101-502,300.1,Total,3.22,Y,Sulfate,NA,1,3.22,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,40449,2010,9,September,04010101-502,04010101
S000-251,41401,Sample,04010101-502,300.1,Total,2,Y,Sulfate,NA,1,2,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41401,2013,5,May,04010101-502,04010101
S000-251,41414,Sample,04010101-502,300.1,Total,2.3,Y,Sulfate,NA,1,2.3,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41414,2013,5,May,04010101-502,04010101
S000-251,41429,Sample,04010101-502,300.1,Total,2.44,Y,Sulfate,NA,1,2.44,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41429,2013,6,June,04010101-502,04010101
S000-251,41435,Sample,04010101-502,300.1,Total,2.5,Y,Sulfate,NA,1,2.5,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41435,2013,6,June,04010101-502,04010101
S000-251,41472,Sample,04010101-502,300.1,Total,1.61,Y,Sulfate,NA,1,1.61,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41472,2013,7,July,04010101-502,04010101
S000-251,41485,Sample,04010101-502,300.1,Total,1.25,Y,Sulfate,NA,1,1.25,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41485,2013,7,July,04010101-502,04010101
S000-251,41492,Sample,04010101-502,300.1,Total,1.82,Y,Sulfate,NA,1,1.82,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41492,2013,8,August,04010101-502,04010101
S000-251,41499,Sample,04010101-502,300.1,Total,1.9,Y,Sulfate,NA,1,1.9,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41499,2013,8,August,04010101-502,04010101
S000-251,41522,Sample,04010101-502,300.1,Total,1.81,Y,Sulfate,NA,1,1.81,mg/L,mg/L,Cook,G,4010101,BRULE R UPSTRM OF US-61 AT JUDGE CR MAGNEY PARK,Actual,-90.0518,47.81823,41522,2013,9,September,04010101-502,04010101
S000-250,40120,Sample,04010101-508,300.1,Total,3.31,Y,Sulfate,NA,1,3.31,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,40120,2009,11,November,04010101-508,04010101
S000-250,40213,Sample,04010101-508,300.1,Total,4.34,Y,Sulfate,NA,1,4.34,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,40213,2010,2,February,04010101-508,04010101
S000-250,40644,Sample,04010101-508,300.1,Total,2.3,Y,Sulfate,NA,1,2.3,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,40644,2011,4,April,04010101-508,04010101
S000-250,40777,Sample,04010101-508,300.1,Total,2.69,Y,Sulfate,NA,1,2.69,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,40777,2011,8,August,04010101-508,04010101
S000-250,40827,Sample,04010101-508,300.1,Total,3.94,Y,Sulfate,NA,1,3.94,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,40827,2011,10,October,04010101-508,04010101
S000-250,41411,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41411,2013,5,May,04010101-508,04010101
S000-250,41425,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41425,2013,5,May,04010101-508,04010101
S000-250,41437,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41437,2013,6,June,04010101-508,04010101
S000-250,41451,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41451,2013,6,June,04010101-508,04010101
S000-250,41457,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41457,2013,7,July,04010101-508,04010101
S000-250,41486,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41486,2013,7,July,04010101-508,04010101
S000-250,41493,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41493,2013,8,August,04010101-508,04010101
S000-250,41512,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41512,2013,8,August,04010101-508,04010101
S000-250,41535,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41535,2013,9,September,04010101-508,04010101
S000-250,41547,Sample,04010101-508,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41547,2013,9,September,04010101-508,04010101
S000-250,41757,Sample,04010101-508,300.1,Total,2.68,Y,Sulfate,NA,1,2.68,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41757,2014,4,April,04010101-508,04010101
S000-250,41822,Sample,04010101-508,300.1,Total,1.32,Y,Sulfate,NA,1,1.32,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41822,2014,7,July,04010101-508,04010101
S000-250,41939,Sample,04010101-508,300.1,Total,2.16,Y,Sulfate,NA,1,2.16,mg/L,mg/L,Lake,G,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,41939,2014,10,October,04010101-508,04010101
S000-250,42864,Sample,04010101-508,300.1,Total,1.94,Y,Sulfate,0.15,0.5,1.94,mg/L,mg/L,Lake,Unknown,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,42864,2017,5,May,04010101-508,04010101
S000-250,42947,Sample,04010101-508,300.1,Total,2.2,Y,Sulfate,0.17,0.5,2.2,mg/L,mg/L,Lake,Unknown,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,42947,2017,7,July,04010101-508,04010101
S000-250,43017,Sample,04010101-508,300.1,Total,1.12,Y,Sulfate,0.17,0.5,1.12,mg/L,mg/L,Lake,Unknown,4010101,BAPTISM RIVER AT US-61 BRIDGE AT TETTEGOUCHE PARK,Actual,-91.200111,47.337528,43017,2017,10,October,04010101-508,04010101
S007-548,41408,Sample,04010101-518,300,Dissolved,3.3,Y,Sulfate,NA,1.5,3.3,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41408,2013,5,May,04010101-518,04010101
S007-548,41422,Sample,04010101-518,300,Dissolved,3.3,Y,Sulfate,NA,1.5,3.3,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41422,2013,5,May,04010101-518,04010101
S007-548,41429,Sample,04010101-518,300,Dissolved,3,Y,Sulfate,NA,1.5,3,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41429,2013,6,June,04010101-518,04010101
S007-548,41450,Sample,04010101-518,300,Dissolved,2.5,Y,Sulfate,NA,1.5,2.5,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41450,2013,6,June,04010101-518,04010101
S007-548,41463,Sample,04010101-518,300,Dissolved,2.3,Y,Sulfate,NA,1.5,2.3,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41463,2013,7,July,04010101-518,04010101
S007-548,41484,Sample,04010101-518,300,Dissolved,2.1,Y,Sulfate,NA,1.5,2.1,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41484,2013,7,July,04010101-518,04010101
S007-548,41491,Sample,04010101-518,300,Dissolved,2.2,Y,Sulfate,NA,1.5,2.2,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41491,2013,8,August,04010101-518,04010101
