ID,host ID,host plant,lifespan
c51-1,c51,A. curassavica,5.819444444
c51-2,c51,A. curassavica,7.819444444
c51-3,c51,A. curassavica,4.319444444
c51-4,c51,A. curassavica,7.319444444
c51-5,c51,A. curassavica,3.319444444
c51-6,c51,A. curassavica,6.819444444
c51-7,c51,A. curassavica,3.819444444
c51-8,c51,A. curassavica,8.819444444
c51-9,c51,A. curassavica,6.319444444
c51-10,c51,A. curassavica,7.319444444
c51-11,c51,A. curassavica,7.319444444
c51-12,c51,A. curassavica,7.319444444
c51-13,c51,A. curassavica,7.319444444
c51-14,c51,A. curassavica,8.319444444
c51-15,c51,A. curassavica,6.319444444
c51-16,c51,A. curassavica,7.819444444
c51-17,c51,A. curassavica,8.319444444
c51-18,c51,A. curassavica,8.319444444
c51-19,c51,A. curassavica,6.819444444
c51-20,c51,A. curassavica,9.319444444
c53-1,c53,A. curassavica,8.21875
c53-2,c53,A. curassavica,7.71875
c53-3,c53,A. curassavica,9.21875
c53-4,c53,A. curassavica,7.71875
c53-5,c53,A. curassavica,8.71875
c53-6,c53,A. curassavica,8.71875
c53-7,c53,A. curassavica,7.71875
c53-8,c53,A. curassavica,7.71875
c53-9,c53,A. curassavica,7.71875
c53-10,c53,A. curassavica,8.71875
c53-11,c53,A. curassavica,8.21875
c53-12,c53,A. curassavica,9.71875
c53-13,c53,A. curassavica,9.21875
c53-14,c53,A. curassavica,8.21875
c53-15,c53,A. curassavica,7.21875
c53-16,c53,A. curassavica,8.71875
c53-17,c53,A. curassavica,7.71875
c53-18,c53,A. curassavica,7.71875
c53-19,c53,A. curassavica,9.21875
c53-20,c53,A. curassavica,8.21875
i58-1,i58,A. incarnata,8.041666667
i58-2,i58,A. incarnata,4.041666667
i58-3,i58,A. incarnata,7.541666667
i58-4,i58,A. incarnata,7.041666667
i58-5,i58,A. incarnata,9.541666667
i58-6,i58,A. incarnata,8.041666667
i58-7,i58,A. incarnata,6.041666667
i58-8,i58,A. incarnata,8.541666667
i58-9,i58,A. incarnata,4.541666667
i58-10,i58,A. incarnata,7.041666667
i58-11,i58,A. incarnata,7.541666667
i58-12,i58,A. incarnata,6.541666667
i58-13,i58,A. incarnata,7.041666667
i58-14,i58,A. incarnata,6.541666667
i58-15,i58,A. incarnata,7.041666667
i58-16,i58,A. incarnata,8.541666667
i58-17,i58,A. incarnata,7.041666667
i58-18,i58,A. incarnata,9.041666667
i58-19,i58,A. incarnata,8.041666667
i58-20,i58,A. incarnata,8.041666667
i59-1,i59,A. incarnata,7.472222222
i59-2,i59,A. incarnata,6.472222222
i59-3,i59,A. incarnata,7.472222222
i59-4,i59,A. incarnata,7.972222222
i59-5,i59,A. incarnata,7.472222222
i59-6,i59,A. incarnata,7.472222222
i59-7,i59,A. incarnata,6.472222222
i59-8,i59,A. incarnata,7.972222222
i59-9,i59,A. incarnata,6.472222222
i59-10,i59,A. incarnata,7.472222222
i59-11,i59,A. incarnata,7.972222222
i59-12,i59,A. incarnata,8.972222222
i59-13,i59,A. incarnata,7.472222222
i59-14,i59,A. incarnata,8.472222222
i59-15,i59,A. incarnata,6.472222222
i59-16,i59,A. incarnata,7.972222222
i59-17,i59,A. incarnata,5.972222222
i59-18,i59,A. incarnata,8.472222222
i59-19,i59,A. incarnata,7.472222222
i59-20,i59,A. incarnata,5.972222222
