county,geoid,pollutant,noncancer_air_risk,cancer_air_risk,combined_air_score
AITKIN,270017701001,All pollutant sum,0.06,8.71e-7,0.0871
AITKIN,270017701002,All pollutant sum,0.04,7.29e-7,0.07289999999999999
AITKIN,270017701003,All pollutant sum,0.04,7.22e-7,0.0722
AITKIN,270017702001,All pollutant sum,0.06,8.76e-7,0.08759999999999998
AITKIN,270017702002,All pollutant sum,0.03,6.43e-7,0.0643
AITKIN,270017702003,All pollutant sum,0.09,1.7e-6,0.16999999999999998
AITKIN,270017703001,All pollutant sum,0.1,2.16e-6,0.216
AITKIN,270017703002,All pollutant sum,0.06,1.44e-6,0.144
AITKIN,270017703003,All pollutant sum,0.08,2.02e-6,0.20199999999999999
AITKIN,270017704001,All pollutant sum,0.03,6.08e-7,0.0608
AITKIN,270017704002,All pollutant sum,0.04,8.53e-7,0.0853
AITKIN,270017704003,All pollutant sum,0.02,4.35e-7,0.0435
AITKIN,270017905011,All pollutant sum,0.03,5.18e-7,0.05179999999999999
AITKIN,270017905012,All pollutant sum,0.03,7.78e-7,0.0778
AITKIN,270017905021,All pollutant sum,0.03,9.27e-7,0.09269999999999999
AITKIN,270017905022,All pollutant sum,0.05,1.31e-6,0.13099999999999998
AITKIN,270017905023,All pollutant sum,0.03,8.52e-7,0.08519999999999998
ANOKA,270030501071,All pollutant sum,0.12,2.75e-6,0.27499999999999997
ANOKA,270030501081,All pollutant sum,0.14,3.34e-6,0.334
ANOKA,270030501082,All pollutant sum,0.14,3.34e-6,0.334
ANOKA,270030501091,All pollutant sum,0.15,3.5e-6,0.35
ANOKA,270030501092,All pollutant sum,0.15,3.67e-6,0.367
ANOKA,270030501093,All pollutant sum,0.17,4.42e-6,0.44199999999999995
ANOKA,270030501094,All pollutant sum,0.17,4.15e-6,0.415
ANOKA,270030501101,All pollutant sum,0.18,4.36e-6,0.43599999999999994
ANOKA,270030501102,All pollutant sum,0.2,4.78e-6,0.478
ANOKA,270030501111,All pollutant sum,0.17,4.45e-6,0.44499999999999995
ANOKA,270030501112,All pollutant sum,0.21,5.91e-6,0.591
ANOKA,270030501113,All pollutant sum,0.21,5.96e-6,0.596
ANOKA,270030501141,All pollutant sum,0.16,3.61e-6,0.361
ANOKA,270030501142,All pollutant sum,0.16,3.81e-6,0.38099999999999995
ANOKA,270030501151,All pollutant sum,0.15,3.45e-6,0.345
ANOKA,270030501152,All pollutant sum,0.15,3.89e-6,0.38899999999999996
ANOKA,270030501153,All pollutant sum,0.19,4.42e-6,0.44199999999999995
ANOKA,270030501154,All pollutant sum,0.17,3.84e-6,0.38399999999999995
ANOKA,270030501161,All pollutant sum,0.16,3.78e-6,0.37799999999999995
ANOKA,270030501162,All pollutant sum,0.17,3.9e-6,0.38999999999999996
ANOKA,270030501163,All pollutant sum,0.15,3.5e-6,0.35
ANOKA,270030502081,All pollutant sum,0.51,1.31e-5,1.3099999999999998
ANOKA,270030502082,All pollutant sum,0.42,1.09e-5,1.09
ANOKA,270030502101,All pollutant sum,0.26,6.14e-6,0.6139999999999999
ANOKA,270030502102,All pollutant sum,0.2,4.89e-6,0.48899999999999993
ANOKA,270030502103,All pollutant sum,0.33,7.84e-6,0.7839999999999999
ANOKA,270030502104,All pollutant sum,0.26,6.12e-6,0.612
ANOKA,270030502151,All pollutant sum,0.32,7.94e-6,0.7939999999999999
ANOKA,270030502152,All pollutant sum,0.32,8.15e-6,0.815
ANOKA,270030502161,All pollutant sum,0.22,5.49e-6,0.5489999999999999
ANOKA,270030502162,All pollutant sum,0.3,7.14e-6,0.714
ANOKA,270030502163,All pollutant sum,0.27,6.75e-6,0.6749999999999999
ANOKA,270030502171,All pollutant sum,0.22,4.89e-6,0.48899999999999993
ANOKA,270030502172,All pollutant sum,0.23,5.02e-6,0.502
ANOKA,270030502181,All pollutant sum,0.25,5.4e-6,0.5399999999999999
ANOKA,270030502182,All pollutant sum,0.24,5.67e-6,0.567
ANOKA,270030502191,All pollutant sum,0.32,7.91e-6,0.791
ANOKA,270030502192,All pollutant sum,0.4,9.4e-6,0.94
ANOKA,270030502201,All pollutant sum,0.29,6.76e-6,0.6759999999999999
ANOKA,270030502202,All pollutant sum,0.43,1.1e-5,1.0999999999999999
ANOKA,270030502203,All pollutant sum,0.38,9.7e-6,0.97
ANOKA,270030502204,All pollutant sum,0.45,1.14e-5,1.14
ANOKA,270030502211,All pollutant sum,0.34,7.88e-6,0.788
ANOKA,270030502212,All pollutant sum,0.36,8.62e-6,0.862
ANOKA,270030502213,All pollutant sum,0.29,6.89e-6,0.689
ANOKA,270030502221,All pollutant sum,0.46,1.05e-5,1.0499999999999998
ANOKA,270030502222,All pollutant sum,0.48,1.15e-5,1.15
ANOKA,270030502223,All pollutant sum,0.39,1e-5,1
ANOKA,270030502224,All pollutant sum,0.35,9.16e-6,0.9159999999999999
ANOKA,270030502231,All pollutant sum,0.22,5.29e-6,0.529
ANOKA,270030502241,All pollutant sum,0.21,4.72e-6,0.4719999999999999
ANOKA,270030502242,All pollutant sum,0.25,5.48e-6,0.5479999999999999
ANOKA,270030502251,All pollutant sum,0.23,5.2e-6,0.52
ANOKA,270030502252,All pollutant sum,0.31,7.02e-6,0.702
ANOKA,270030502261,All pollutant sum,0.37,8.67e-6,0.8669999999999999
ANOKA,270030502271,All pollutant sum,0.39,9.6e-6,0.9599999999999999
ANOKA,270030502272,All pollutant sum,0.35,8.89e-6,0.8889999999999999
ANOKA,270030502281,All pollutant sum,0.28,6.72e-6,0.6719999999999999
ANOKA,270030502282,All pollutant sum,0.33,7.69e-6,0.7689999999999999
ANOKA,270030502291,All pollutant sum,0.37,8.96e-6,0.896
ANOKA,270030502292,All pollutant sum,0.54,1.4e-5,1.4
ANOKA,270030502301,All pollutant sum,0.38,8.52e-6,0.8519999999999999
ANOKA,270030502321,All pollutant sum,0.36,8.3e-6,0.83
ANOKA,270030502322,All pollutant sum,0.37,8.66e-6,0.866
ANOKA,270030502331,All pollutant sum,0.34,7.66e-6,0.7659999999999999
ANOKA,270030502332,All pollutant sum,0.35,7.99e-6,0.7989999999999999
ANOKA,270030502341,All pollutant sum,0.23,6.34e-6,0.634
ANOKA,270030502342,All pollutant sum,0.21,5.64e-6,0.564
ANOKA,270030502351,All pollutant sum,0.25,6.08e-6,0.608
ANOKA,270030502352,All pollutant sum,0.22,5.15e-6,0.5149999999999999
ANOKA,270030502361,All pollutant sum,0.42,9.76e-6,0.9759999999999999
ANOKA,270030502362,All pollutant sum,0.44,1.05e-5,1.0499999999999998
ANOKA,270030502371,All pollutant sum,0.41,1.03e-5,1.0299999999999998
ANOKA,270030502372,All pollutant sum,0.49,1.2e-5,1.2
ANOKA,270030504011,All pollutant sum,0.46,9.98e-6,0.9979999999999999
ANOKA,270030504012,All pollutant sum,0.55,1.28e-5,1.2799999999999998
ANOKA,270030504021,All pollutant sum,0.47,1.21e-5,1.2099999999999997
ANOKA,270030504022,All pollutant sum,0.42,1.1e-5,1.0999999999999999
ANOKA,270030504023,All pollutant sum,0.49,1.27e-5,1.27
ANOKA,270030505011,All pollutant sum,0.68,1.35e-5,1.3499999999999999
ANOKA,270030505012,All pollutant sum,0.66,1.4e-5,1.4
ANOKA,270030505013,All pollutant sum,0.48,1.21e-5,1.2099999999999997
ANOKA,270030505014,All pollutant sum,1.11,1.69e-5,1.69
ANOKA,270030505041,All pollutant sum,0.52,1.29e-5,1.2899999999999998
ANOKA,270030505042,All pollutant sum,1.81,1.64e-5,1.81
ANOKA,270030505051,All pollutant sum,0.78,1.45e-5,1.45
ANOKA,270030505052,All pollutant sum,0.74,1.29e-5,1.2899999999999998
ANOKA,270030505053,All pollutant sum,0.48,9.36e-6,0.9359999999999999
ANOKA,270030505054,All pollutant sum,1.2,1.64e-5,1.6399999999999997
ANOKA,270030506021,All pollutant sum,0.94,2.5e-5,2.5
ANOKA,270030506022,All pollutant sum,0.71,1.78e-5,1.7799999999999998
ANOKA,270030506051,All pollutant sum,0.58,1.29e-5,1.2899999999999998
ANOKA,270030506052,All pollutant sum,0.72,1.48e-5,1.48
ANOKA,270030506053,All pollutant sum,0.68,1.45e-5,1.45
ANOKA,270030506054,All pollutant sum,0.54,1.32e-5,1.32
ANOKA,270030506061,All pollutant sum,0.82,1.61e-5,1.6099999999999997
ANOKA,270030506062,All pollutant sum,0.74,1.47e-5,1.47
ANOKA,270030506071,All pollutant sum,0.57,1.41e-5,1.41
ANOKA,270030506072,All pollutant sum,0.74,1.68e-5,1.6799999999999997
ANOKA,270030506073,All pollutant sum,0.69,1.53e-5,1.5299999999999998
ANOKA,270030506074,All pollutant sum,0.8,1.65e-5,1.65
ANOKA,270030506081,All pollutant sum,1,2.47e-5,2.4699999999999998
ANOKA,270030506082,All pollutant sum,0.83,1.81e-5,1.8099999999999998
ANOKA,270030506083,All pollutant sum,1.06,2.58e-5,2.5799999999999996
ANOKA,270030506091,All pollutant sum,0.7,1.61e-5,1.6099999999999997
ANOKA,270030506092,All pollutant sum,0.58,1.46e-5,1.46
ANOKA,270030506093,All pollutant sum,0.78,1.79e-5,1.79
ANOKA,270030506101,All pollutant sum,0.61,1.35e-5,1.3499999999999999
ANOKA,270030506102,All pollutant sum,0.72,1.42e-5,1.42
ANOKA,270030506103,All pollutant sum,0.9,1.52e-5,1.5199999999999998
ANOKA,270030506104,All pollutant sum,0.62,1.43e-5,1.43
