SAMPLE_DATE,SYS_LOC_CODE,STREAM_CODE,LOC_NAME,LOC_TYPE,LOC_COUNTY_CODE,LOC_MAJOR_BASIN,LNG,LAT,CHEMICAL,DETECT_FLAG,RESULT_NUMERIC,RESULT_TEXT,RESULT_UNIT,REPORTING_DETECTION_LIMIT,METHOD_DETECTION_LIMIT,DETECTION_LIMIT_UNIT
2018-09-18,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Sulfate,N,,,mg/L,3,0.751,mg/L
2018-09-18,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.026,0.026,mg/L,0.003,0.001,mg/L
2018-09-05,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.022,0.022,mg/L,0.003,0.001,mg/L
2018-08-22,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.033,0.033,mg/L,0.003,0.001,mg/L
2018-07-26,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.038,0.038,mg/L,0.003,0.001,mg/L
2018-06-25,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.027,0.027,mg/L,0.003,0.001,mg/L
2018-05-22,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.025,0.025,mg/L,0.003,0.001,mg/L
2017-08-28,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Sulfate,N,,,mg/L,3,0.97,mg/L
2017-08-28,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.021,0.021,mg/L,0.003,0.001,mg/L
2017-07-19,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Sulfate,N,,,mg/L,3,0.97,mg/L
2017-07-19,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.024,0.024,mg/L,0.003,0.001,mg/L
2017-07-19,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.025,0.025,mg/L,0.003,0.001,mg/L
2017-07-19,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Sulfate,N,,,mg/L,3,0.97,mg/L
2017-06-27,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,"Hardness, carbonate",Y,33.8,33.8,mg/L,5,2.26,mg/L
2017-06-27,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Phosphorus,Y,0.021,0.021,mg/L,0.003,0.001,mg/L
2017-06-12,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Chloride,Y,1.3,1.3,mg/L,0.5,0.166,mg/L
2017-06-12,01-0064-00-201,01-0064-00,Bear,Lake,Aitkin,07030004,-93.370456,46.239632,Sulfate,N,,,mg/L,3,0.97,mg/L
2015-08-17,30-0057-00-100,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232,45.714,Specific conductance,Y,330,330,uS/cm,,,
2015-08-17,30-0057-00-100,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232,45.714,Sulfate,Y,2.58,2.58,mg/L,0.5,,mg/L
2015-08-17,30-0057-00-100,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232,45.714,Phosphorus,Y,0.256,0.256,mg/L,0.005,,mg/L
2014-09-11,30-0057-00-100,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232,45.714,Sulfate,Y,3.8,3.8,mg/L,0.5,,mg/L
2014-09-11,30-0057-00-100,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232,45.714,Specific conductance,Y,155,155,uS/cm,,,
2014-09-11,30-0057-00-100,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232,45.714,Phosphorus,Y,0.125,0.125,mg/L,0.005,,mg/L
2018-09-24,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.168,0.168,mg/L,0.003,0.001,mg/L
2018-08-26,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.215,0.215,mg/L,0.003,0.001,mg/L
2018-07-22,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.355,0.355,mg/L,0.003,0.001,mg/L
2018-06-17,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.242,0.242,mg/L,0.003,0.001,mg/L
2018-05-22,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.188,0.188,mg/L,0.003,0.001,mg/L
2017-09-19,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.19,0.19,mg/L,0.003,0.001,mg/L
2017-09-19,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Sulfate,N,,,mg/L,3,0.97,mg/L
2017-08-14,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.135,0.135,mg/L,0.003,0.001,mg/L
2017-08-14,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Sulfate,N,,,mg/L,3,0.97,mg/L
2017-07-09,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Sulfate,N,,,mg/L,3,0.97,mg/L
2017-07-09,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.129,0.129,mg/L,0.003,0.001,mg/L
2017-07-09,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.123,0.123,mg/L,0.003,0.001,mg/L
2017-07-09,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Sulfate,N,,,mg/L,3,0.97,mg/L
2017-06-18,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Sulfate,N,,,mg/L,3,0.97,mg/L
2017-06-18,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Chloride,Y,17.2,17.2,mg/L,0.5,0.166,mg/L
2017-06-18,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.339,0.339,mg/L,0.003,0.001,mg/L
2017-06-18,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,"Hardness, carbonate",Y,158,158,mg/L,10,2.26,mg/L
2017-05-31,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Phosphorus,Y,0.087,0.087,mg/L,0.003,0.001,mg/L
2017-05-31,30-0057-00-201,30-0057-00,Upper Rice,Lake,Isanti,07030004,-93.232002,45.715195,Sulfate,N,,,mg/L,3,0.97,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Potassium,Y,1.44,1.44,mg/L,0.5,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Iron,Y,298,298,ug/L,5,,ug/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Chloride,Y,3.53,3.53,mg/L,1,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Sulfate,Y,2.04,2.04,mg/L,1,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Specific conductance,Y,140,140,uS/cm,2,,uS/cm
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Calcium,Y,16.5,16.5,mg/L,2,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Sodium,Y,3.97,3.97,mg/L,0.5,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Magnesium,Y,6.26,6.26,mg/L,2,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,"Alkalinity, total",Y,62,62,mg/L,10,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Magnesium,Y,6.35,6.35,mg/L,2,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Chloride,Y,3.53,3.53,mg/L,1,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Sulfate,Y,2.08,2.08,mg/L,1,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Specific conductance,Y,140,140,uS/cm,2,,uS/cm
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Iron,Y,298,298,ug/L,5,,ug/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Calcium,Y,16.7,16.7,mg/L,2,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Sodium,Y,4,4.00,mg/L,0.5,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,Potassium,Y,1.45,1.45,mg/L,0.5,,mg/L
2012-05-24,33-0028-00-209,33-0028-00,Knife,Lake,Kanabec,07030004,-93.27904,45.986245,"Alkalinity, total",Y,63,63,mg/L,10,,mg/L
2017-09-28,33-0030-00-201,33-0030-00,Pennington,Lake,Kanabec,07030004,-93.270887,45.781045,Phosphorus,Y,0.014,0.014,mg/L,0.003,0.001,mg/L
2017-09-28,33-0030-00-201,33-0030-00,Pennington,Lake,Kanabec,07030004,-93.270887,45.781045,Kjeldahl nitrogen,Y,0.624,0.624,mg/L,0.3,0.081,mg/L
2017-09-13,33-0030-00-201,33-0030-00,Pennington,Lake,Kanabec,07030004,-93.270887,45.781045,Kjeldahl nitrogen,Y,0.473,0.473,mg/L,0.3,0.081,mg/L
2017-09-13,33-0030-00-201,33-0030-00,Pennington,Lake,Kanabec,07030004,-93.270887,45.781045,Phosphorus,Y,0.014,0.014,mg/L,0.003,0.001,mg/L
2017-08-24,33-0030-00-201,33-0030-00,Pennington,Lake,Kanabec,07030004,-93.270887,45.781045,Phosphorus,Y,0.013,0.013,mg/L,0.003,0.001,mg/L
2017-08-24,33-0030-00-201,33-0030-00,Pennington,Lake,Kanabec,07030004,-93.270887,45.781045,Phosphorus,Y,0.014,0.014,mg/L,0.003,0.001,mg/L
2017-08-24,33-0030-00-201,33-0030-00,Pennington,Lake,Kanabec,07030004,-93.270887,45.781045,Kjeldahl nitrogen,Y,0.528,0.528,mg/L,0.3,0.0811,mg/L
