name,id,align,eye,hair,sex,alive,x
Raymond Cartel (Earth-616),Public Identity,Bad Characters,NA,White Hair,Male Characters,Living Characters,"c(-176.75, -89.75)"
Jumbo Carnation (Earth-616),Public Identity,NA,NA,Bald,Male Characters,Deceased Characters,"c(-176.25, -89.75)"
Joey Milton (Earth-616),Public Identity,NA,NA,Brown Hair,Male Characters,Living Characters,"c(-170.75, -89.75)"
Flatiron (Russell) (Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,Deceased Characters,"c(-170.25, -89.75)"
Pericymenus (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(-168.75, -89.75)"
Sharon Carter (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(-166.75, -89.75)"
Keep (Earth-616),Public Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-165.25, -89.75)"
Jurgen Hauptmann (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-164.25, -89.75)"
Remiel (New Earth),NA,NA,NA,NA,Male Characters,Living Characters,"c(-163.75, -89.75)"
Debra Crovi (Earth-616),NA,Good Characters,NA,NA,Female Characters,Living Characters,"c(-162.75, -89.75)"
Doctor Goodwrench (Earth-616),Secret Identity,NA,NA,NA,Male Characters,Living Characters,"c(-161.75, -89.75)"
Ernst Rohm (Earth-616),Public Identity,NA,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(-158.25, -89.75)"
Xenofobe (New Earth),NA,Good Characters,NA,Green Hair,Male Characters,Living Characters,"c(-155.75, -89.75)"
Eric Fine (New Earth),NA,Bad Characters,NA,Blond Hair,Male Characters,Living Characters,"c(-155.25, -89.75)"
Mr. Hammer (New Earth),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(-153.75, -89.75)"
Lottie Eikenski (Earth-616),NA,Bad Characters,NA,Black Hair,Female Characters,Deceased Characters,"c(-150.75, -89.75)"
Chuda (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(-149.25, -89.75)"
Gigantus (New Earth),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(-148.75, -89.75)"
Noah Baxter (Earth-616),NA,NA,NA,Grey Hair,Male Characters,Living Characters,"c(-146.75, -89.75)"
Victoria (Earth-616),No Dual Identity,NA,Hazel Eyes,Brown Hair,Female Characters,Living Characters,"c(-143.25, -89.75)"
Mrs. Spalding (Earth-616),Secret Identity,NA,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(-140.75, -89.75)"
Mercury (New Earth),Secret Identity,Good Characters,Photocellular Eyes,NA,Male Characters,Living Characters,"c(-139.25, -89.75)"
Reiko (Earth-616),NA,Bad Characters,NA,Black Hair,Female Characters,Living Characters,"c(-138.25, -89.75)"
Bruuk (Earth-616),NA,NA,Yellow Eyes,No Hair,NA,Living Characters,"c(-137.75, -89.75)"
Cheryl Constantine (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(-134.75, -89.75)"
Andre Chavard (New Earth),Public Identity,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-133.25, -89.75)"
Von Batch (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(-132.25, -89.75)"
Baytor (New Earth),Public Identity,NA,Red Eyes,NA,NA,Living Characters,"c(-131.75, -89.75)"
Donald Blake (Mystic Spell) (Earth-616),NA,NA,NA,Blond Hair,Male Characters,Deceased Characters,"c(-127.75, -89.75)"
Kerry (New Earth),NA,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(-124.75, -89.75)"
Scythe (New Earth),NA,Bad Characters,NA,Red Hair,Male Characters,Living Characters,"c(-123.25, -89.75)"
Menalippe (New Earth),Public Identity,Good Characters,NA,NA,Female Characters,Deceased Characters,"c(-122.75, -89.75)"
Edward Brock (Earth-616),Public Identity,NA,Black Eyes,Blond Hair,Male Characters,Living Characters,"c(-121.25, -89.75)"
Jess Patton (Earth-616),No Dual Identity,NA,Brown Eyes,Blond Hair,Female Characters,Deceased Characters,"c(-120.25, -89.75)"
Old Billy (Earth-616),No Dual Identity,NA,NA,NA,Male Characters,Living Characters,"c(-117.75, -89.75)"
Kur (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-117.25, -89.75)"
Miranda Rand (Earth-616),Secret Identity,Good Characters,NA,Blond Hair,Female Characters,Living Characters,"c(-115.75, -89.75)"
Bazooka (New Earth),NA,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-115.25, -89.75)"
Jack Castle (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,Deceased Characters,"c(-114.25, -89.75)"
Hyun Rahman (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(-113.75, -89.75)"
Amelia Voelker (Earth-616),No Dual Identity,NA,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(-109.75, -89.75)"
Larry Wagner (Earth-616),NA,Good Characters,NA,Blond Hair,Male Characters,Deceased Characters,"c(-107.75, -89.75)"
Hywell Griffin (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(-105.75, -89.75)"
Mad Gargoyle (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(-103.75, -89.75)"
