air_monitor,site_catid,aqs_id,date,day_obs,mean_24hr,pollutant,latitude,longitude,max_8hr,range_of_24hr_mean,year,month,day,temp_f_sunup_max,temp_f_max,temp_f_sunup_avg,temp_f_avg,temp_f_morning_avg,temp_f_afternoon_avg,temp_f_sunup_min,temp_f_min,temp_f_sunup_range,temp_f_range,winddir_mode,winddir_sunup_mode,wind_calm,wind_from_n,wind_from_ne,wind_from_e,wind_from_se,wind_from_s,wind_from_sw,wind_from_w,wind_from_nw,windspd_mph_avg,windspd_mph_med,windspd_mph_sunup_avg,windspd_mph_sunup_med,precip_in_sum,precip_in_sunup_sum,precip_in_night_sum,precip_hrs_duration,precip_hrs_duration_sunup,rh_avg,rh_sunup_avg,dewpoint_f_avg,dewpoint_f_sunup_avg,visibility_miles_avg,visibility_miles_min,visibility_miles_sunup_avg,visibility_miles_sunup_min,cloud_cover_sunup_avg,cloud_cover_avg,overcast_sunup_mode,overcast_mode,month_avg_tempf_max,month_avg_tempf_sunup_max,month_tempf_avg,month_tempf_avg_sunup_avg,winddir_prevday_mode,winddir_prev_2day_mode,wind_shift_to_north,precip_prevday_in_sum,precip_prevnight_in_sum,temp_prevday_f_max,temp_prevday_f_avg,temp_24hr_change_f_max,temp_24hr_change_f_avg,temp_prev3days_avg_f_max,temp_3day_change_f_max,temp_prev30_avg_temp_max,temp_prev30_avg_temp_avg,temp_prevmonth_avg_f_max,temp_prevmonth_avg_f_avg,temp_prevmonth_change_f_max,temp_prevmonth_change_f_avg,temp_change_from_site_avg_max,temp_change_from_site_avg_sunup_max,temp_change_from_site_avg,temp_change_from_site_sunup_avg,parcel_start_date,traj_hourz,receptor_heights,origin_heights,origin_coords,parcel_rain,parcel_rh,parcel_sunflux,background_24hr_ozone_17z_ppb_med,background_24hr_pm25_17z_med,background_24hr_ozone_17z_ppb_mean,background_24hr_pm25_17z_mean,nearest_o3_monitor_miles,nearest_pm_monitor_miles
Anoka Airport,27-003-1002,27-003-1002,2010-01-01,21,28.762,OZONE,45.13768,-93.207615,33.38,"28.8, 28.8",2010,1,1,3.07,6.66,1.73,2.763333333333333,2.163333333333333,0.968,0.83,0.77,2.2399999999999998,5.890000000000001,NW,NW,0,0,0,0,0,0,0,0,1,7.04,6.585000000000001,6.293,6.045,0,0,0,0,0,72.25,76.7,-4.177083333333333,-3.856,9.945416666666667,9.54,9.869,9.54,0.72,0.42,Overcast,Clear,23.695,18.73,15.558125,13.118,W,S,FALSE,0,0,17.7,9.506666666666666,-11.04,-6.743333333333332,12.497499999999999,-9.734166666666665,22.35655172413793,15.80903735632184,23.15206896551724,16.579353448275864,-16.49206896551724,-13.81602011494253,-17.035,-15.66,-12.794791666666667,-11.388,,,,,,,,,,,,,,
Anoka Airport,27-003-1002,27-003-1002,2010-01-02,24,25.458,OZONE,45.13768,-93.207615,33.62,"25.5, 25.5",2010,1,2,-11.51,-0.86,-15.544,-9.6575,-14.898333333333333,-16.823999999999998,-18.11,-18.11,6.6,17.25,Calm,Calm,0.8,0,0,0,0,0,0,0,0.2,5.004583333333334,4.705,3.839,3.205,0,0,0,0,0,64.41666666666667,70.8,-18.517916666666668,-22.226,9.99625,9.95,9.991,9.95,0.01,0.02,Clear,Clear,23.695,18.73,15.558125,13.118,NW,W,FALSE,0,0,6.66,2.763333333333333,-7.5200000000000005,-12.420833333333334,6.135,-15.7925,21.539310344827587,14.838563218390805,22.35655172413793,15.80903735632184,-23.21655172413793,-25.46653735632184,-24.555,-30.240000000000002,-25.215625000000003,-28.662,2010-01-01,17,"10, 250, 500","84, 425.7, 849.4","48.452, -95.202; 50.962, -94.431; 51.854, -93.994",0,61.6,246.2,34.1,4.8,34.233333333333334,3.3333333333333335,109,115
Anoka Airport,27-003-1002,27-003-1002,2010-01-03,24,13.833,OZONE,45.13768,-93.207615,27.25,"13.8, 13.8",2010,1,3,-6.6,6.82,-15.007,-8.464583333333334,-15.995000000000001,-15.581999999999999,-18.2,-18.2,11.6,25.02,Calm,Calm,0.9,0,0,0,0,0,0,0,0.1,3.4579166666666667,3.1100000000000003,3.251,3.1100000000000003,0,0,0,0,0,71.5,75.5,-15.259166666666667,-20.455000000000002,9.925833333333333,9.52,9.868,9.52,0.02,0.03,Clear,Clear,23.695,18.73,15.558125,13.118,Calm,NW,FALSE,0,0,-0.86,-9.6575,7.680000000000001,1.192916666666667,-3.4470833333333335,-5.0175,20.852413793103448,13.83889367816092,21.539310344827587,14.838563218390805,-14.719310344827587,-23.30314655172414,-16.875,-25.33,-24.022708333333334,-28.125,2010-01-02,17,"10, 250, 500","555.1, 1069.9, 1435","47.696, -91.922; 47.629, -91.312; 48.485, -91.482",0,34,313,32.8,6.4,32.3,6.266666666666667,62,24
Anoka Airport,27-003-1002,27-003-1002,2010-01-04,24,16.083,OZONE,45.13768,-93.207615,26.25,"16.1, 16.1",2010,1,4,-4.79,8.06,-10.117,-4.710416666666667,-10.58,-10.802,-12.96,-12.96,8.170000000000002,21.020000000000003,Calm,Calm,0.7,0,0,0,0,0,0,0.1,0.2,4.503333333333333,4.6899999999999995,4.433,4.74,0,0,0,0,0,70.45833333333333,75,-12.187916666666666,-15.854,9.979583333333334,9.84,9.96,9.84,0.02,0.01,Clear,Clear,23.695,18.73,15.558125,13.118,Calm,Calm,FALSE,0,0,6.82,-8.464583333333334,1.2400000000000002,3.7541666666666664,-9.061041666666668,4.350625000000001,20.345172413793104,13.100890804597702,20.852413793103448,13.83889367816092,-12.792413793103448,-18.54931034482759,-15.635,-23.52,-20.268541666666668,-23.235,2010-01-03,17,"10, 250, 500","4, 0.7, 137.9","47.187, -94.475; 48.253, -93.827; 49.434, -92.247",0,58.3,298.6,31,6.3,31.233333333333334,8.833333333333332,47,69
Anoka Airport,27-003-1002,27-003-1002,2010-01-05,24,14.625,OZONE,45.13768,-93.207615,21.88,"14.6, 14.6",2010,1,5,-1.16,8.97,-8.106,-2.64125,-8.376666666666667,-9.256,-10.98,-10.98,9.82,19.950000000000003,Calm,Calm,0.8,0,0,0,0,0,0,0,0.2,3.6395833333333334,3.31,3.746,3.89,0,0,0,0,0,64.375,71.4,-11.92875,-14.87,9.982083333333334,9.77,9.977,9.77,0.01,0.01,Clear,Clear,23.695,18.73,15.558125,13.118,Calm,Calm,FALSE,0,0,8.06,-4.710416666666667,0.9100000000000001,2.0691666666666673,-6.5875,3.9462500000000005,19.81896551724138,12.377988505747126,20.345172413793104,13.100890804597702,-11.375172413793104,-15.742140804597701,-14.725,-19.89,-18.199375,-21.224,2010-01-04,17,"10, 250, 500","0, 0.3, 186.4","47.109, -94.939; 48.679, -94.026; 49.614, -92.663",0,53.7,294.1,32,10.2,24.666666666666668,10.166666666666666,58,46
Anoka Airport,27-003-1002,27-003-1002,2010-01-06,24,6,OZONE,45.13768,-93.207615,15.75,"6, 6",2010,1,6,5.65,13.74,-0.6209999999999999,2.2758333333333334,-2.4516666666666667,-0.512,-3.03,-5.99,8.68,19.73,Calm,Calm,0.9,0,0.1,0,0,0,0,0,0,2.5566666666666666,2.48,1.677,1.535,0,0,0,0,0,71.70833333333333,75.2,-4.84,-6.635,9.6175,7.76,9.801,9.59,0.24,0.34,Clear,Clear,23.695,18.73,15.558125,13.118,Calm,Calm,FALSE,0,0,8.97,-2.64125,4.77,4.917083333333333,-3.6758333333333333,5.951666666666666,19.581724137931033,11.803448275862069,19.81896551724138,12.377988505747126,-6.078965517241381,-10.102155172413793,-9.955,-13.08,-13.282291666666667,-13.739,2010-01-05,17,"10, 250, 500","7.8, 70, 530.3","47.138, -93.753; 47.818, -93.261; 48.578, -91.31",0,52.6,305.7,34,4,34,4,46,44
Anoka Airport,27-003-1002,27-003-1002,2010-01-07,24,28.875,OZONE,45.13768,-93.207615,31.12,"28.9, 28.9",2010,1,7,10.45,15.7,8.252,10.123333333333333,10.001666666666667,7.596,6.81,6.81,3.6399999999999997,8.89,N,N,0,1,0,0,0,0,0,0,0,13.025833333333333,14.780000000000001,14.92,15.015,0.0021,0.0021,0,0,0,74.125,78,3.51,2.819,5.51,2.38,3.142,2.41,1,0.96,Overcast,Overcast,23.695,18.73,15.558125,13.118,Calm,Calm,FALSE,0,0,13.74,2.2758333333333334,1.959999999999999,7.8475,-0.18270833333333325,10.306041666666665,19.50344827586207,11.748793103448277,19.581724137931033,11.803448275862069,-3.881724137931034,-1.6801149425287356,-7.995000000000001,-8.280000000000001,-5.434791666666667,-4.866,2010-01-06,17,"10, 250, 500","0, 12.4, 2.4","50.282, -94.026; 51.629, -93.101; 50.865, -90.474",0,69.5,217.1,33.6,9.4,33.666666666666664,7.566666666666667,140,198
Anoka Airport,27-003-1002,27-003-1002,2010-01-08,24,25.625,OZONE,45.13768,-93.207615,31.12,"25.6, 25.6",2010,1,8,4.74,8.56,1.04,4.127083333333333,2.935,-0.544,-2.16,-2.16,6.9,10.72,NW,NW,0,0,0,0,0,0,0,0,1,8.466666666666667,7.890000000000001,7.776,7.890000000000001,0,0,0,0,0,71.375,75.8,-3.1033333333333335,-4.796,9.987083333333333,9.85,9.969,9.85,0.28,0.35,Clear,Clear,23.695,18.73,15.558125,13.118,N,Calm,FALSE,0.0021,0,15.7,10.123333333333333,-7.139999999999999,-5.99625,6.199583333333333,-2.0725,19.58448275862069,11.843117816091954,19.50344827586207,11.748793103448277,-10.94344827586207,-7.621709770114943,-15.135,-13.99,-11.431041666666667,-12.078,2010-01-07,17,"10, 250, 500","4.6, 17.4, 0","49.44, -95.625; 49.789, -95.054; 50.829, -92.144",0,76.2,189.8,33.3,6.1,33,5.966666666666667,139,179
Anoka Airport,27-003-1002,27-003-1002,2010-01-09,24,6.625,OZONE,45.13768,-93.207615,20.75,"6.6, 6.6",2010,1,9,-1.03,8.53,-9.648,-3.6083333333333334,-10.645,-10.554,-12.33,-12.33,11.3,20.86,Calm,Calm,1,0,0,0,0,0,0,0,0,3.5858333333333334,3.08,2.78,2.6550000000000002,0,0,0,0,0,71.45833333333333,76.1,-10.710833333333333,-15.097,9.890416666666667,9.43,9.762,9.43,0.01,0.03,Clear,Clear,23.695,18.73,15.558125,13.118,NW,N,FALSE,0,0,8.56,4.127083333333333,-0.030000000000001137,-7.735416666666667,7.125208333333333,-10.733541666666667,19.285862068965518,11.565517241379311,19.58448275862069,11.843117816091954,-11.054482758620692,-15.451451149425289,-15.165000000000001,-19.76,-19.166458333333335,-22.766,2010-01-08,17,"10, 250, 500","0, 194.1, 469.8","46.417, -95.524; 47.128, -95.313; 46.744, -94.553",0,73.6,298.1,31,7.5,31.533333333333335,7.9,73,32
Anoka Airport,27-003-1002,27-003-1002,2010-01-10,24,19.75,OZONE,45.13768,-93.207615,27.25,"19.8, 19.8",2010,1,10,10.4,15.69,5.915,6.25,2.873333333333333,7.388,1.56,-1.65,8.84,17.34,S,S,0,0,0,0,0,0.9,0.1,0,0,8.26,9.32,10.292,10.350000000000001,0,0,0,0,0,69.25,67.6,-1.7254166666666668,-2.517,9.992916666666666,9.96,9.996,9.96,0.18,0.25,Clear,Clear,23.695,18.73,15.558125,13.118,Calm,NW,FALSE,0,0,8.53,-3.6083333333333334,7.16,9.858333333333334,0.2593749999999999,5.990625,18.80551724137931,11.230071839080459,19.285862068965518,11.565517241379311,-3.595862068965518,-5.315517241379311,-8.005,-8.33,-9.308125,-7.203,2010-01-09,17,"10, 250, 500","121, 38, 531.8","41.84, -95.363; 39.641, -98.171; 42.384, -103.059",0,75,446.8,31.3,10,30.53333333333333,8.433333333333334,102,52
Anoka Airport,27-003-1002,27-003-1002,2010-01-11,24,23.542,OZONE,45.13768,-93.207615,29.38,"23.5, 23.5",2010,1,11,19.09,21.1,14.078,15.36,12.891666666666666,14.598,11.49,11.49,7.6,9.610000000000001,NW,NW,0,0.2,0,0,0,0,0,0,0.8,6.165416666666666,6,6.828,6.3100000000000005,0,0,0,0,0,75.08333333333333,79.4,8.867916666666666,8.91,9.950833333333334,9.71,9.917,9.71,0.61,0.49,Overcast,Clear,23.695,18.73,15.558125,13.118,S,Calm,TRUE,0,0,15.69,6.25,5.410000000000002,9.11,1.3208333333333333,14.039166666666667,18.53103448275862,11.154066091954023,18.80551724137931,11.230071839080459,2.294482758620692,4.12992816091954,-2.594999999999999,0.35999999999999943,-0.198125000000001,0.9599999999999991,2010-01-10,17,"10, 250, 500","0, 440.8, 737.5","48.552, -95.66; 52.041, -91.675; 52.738, -91.872",0,82.5,128.2,37,13,35.43333333333333,12.366666666666667,125,118
